Region,Age,Year,Population
1,17,1968,17725
1,17,1969,18325
1,17,1970,18404
1,17,1971,17493
1,17,1972,17830
1,17,1973,18242
1,17,1974,18218
1,17,1975,17944
1,17,1976,17795
1,17,1977,17805
1,17,1978,18614
1,17,1979,19096
1,17,1980,20029
1,17,1981,22013
1,17,1982,21175
1,17,1983,21025
1,17,1984,20668
1,17,1985,19091
1,17,1986,18461
1,17,1987,19457
1,17,1988,20787
1,17,1989,20403
1,17,1990,19787
1,17,1991,19830
1,17,1992,18451
1,17,1993,17932
1,17,1994,17515
1,17,1995,17187
1,17,1996,18126
1,17,1997,19108
1,17,1998,18401
1,17,1999,18380
1,17,2000,18176
1,17,2001,18834
1,17,2002,19625
1,17,2003,20578
1,17,2004,21264
1,17,2005,22837
1,17,2006,23808
1,17,2007,25625
1,17,2008,25458
1,17,2009,26096
1,17,2010,25633
1,17,2011,25478
1,17,2012,23855
1,17,2013,22930
1,17,2014,22298
1,17,2015,22691
1,17,2016,22822
1,17,2017,24203
1,17,2018,24662
1,17,2019,26004
1,17,2020,26846
1,17,2021,27808
1,17,2022,28052
1,17,2023,29114
1,18,1968,19053
1,18,1969,18711
1,18,1970,19214
1,18,1971,18798
1,18,1972,17801
1,18,1973,18160
1,18,1974,18599
1,18,1975,18694
1,18,1976,18386
1,18,1977,18361
1,18,1978,18248
1,18,1979,19035
1,18,1980,19673
1,18,1981,20589
1,18,1982,22475
1,18,1983,21576
1,18,1984,21374
1,18,1985,21174
1,18,1986,19552
1,18,1987,18885
1,18,1988,19823
1,18,1989,21095
1,18,1990,20719
1,18,1991,19955
1,18,1992,20053
1,18,1993,18684
1,18,1994,18183
1,18,1995,17666
1,18,1996,17375
1,18,1997,18290
1,18,1998,19339
1,18,1999,18612
1,18,2000,18569
1,18,2001,18359
1,18,2002,19015
1,18,2003,19772
1,18,2004,20720
1,18,2005,21432
1,18,2006,23078
1,18,2007,24162
1,18,2008,25922
1,18,2009,25798
1,18,2010,26484
1,18,2011,25990
1,18,2012,25842
1,18,2013,24259
1,18,2014,23260
1,18,2015,22716
1,18,2016,23232
1,18,2017,23880
1,18,2018,24722
1,18,2019,24996
1,18,2020,26184
1,18,2021,27092
1,18,2022,28078
1,18,2023,28277
1,19,1968,21139
1,19,1969,20354
1,19,1970,20059
1,19,1971,19846
1,19,1972,19272
1,19,1973,18271
1,19,1974,18820
1,19,1975,19360
1,19,1976,19440
1,19,1977,19364
1,19,1978,19189
1,19,1979,19042
1,19,1980,19985
1,19,1981,20747
1,19,1982,21360
1,19,1983,23332
1,19,1984,22427
1,19,1985,22522
1,19,1986,22168
1,19,1987,20315
1,19,1988,19636
1,19,1989,20592
1,19,1990,21751
1,19,1991,21286
1,19,1992,20275
1,19,1993,20403
1,19,1994,19187
1,19,1995,18577
1,19,1996,18041
1,19,1997,17810
1,19,1998,18790
1,19,1999,19916
1,19,2000,19077
1,19,2001,19076
1,19,2002,18746
1,19,2003,19304
1,19,2004,20105
1,19,2005,21055
1,19,2006,21918
1,19,2007,23561
1,19,2008,24528
1,19,2009,26314
1,19,2010,26170
1,19,2011,26725
1,19,2012,26248
1,19,2013,26151
1,19,2014,24529
1,19,2015,23551
1,19,2016,23013
1,19,2017,23563
1,19,2018,24653
1,19,2019,24971
1,19,2020,24692
1,19,2021,25959
1,19,2022,26983
1,19,2023,27971
3,17,1968,2685
3,17,1969,2797
3,17,1970,2770
3,17,1971,2687
3,17,1972,2786
3,17,1973,2893
3,17,1974,2795
3,17,1975,2768
3,17,1976,2851
3,17,1977,2765
3,17,1978,2940
3,17,1979,3066
3,17,1980,3272
3,17,1981,3687
3,17,1982,3678
3,17,1983,3584
3,17,1984,3657
3,17,1985,3528
3,17,1986,3392
3,17,1987,3476
3,17,1988,3732
3,17,1989,3697
3,17,1990,3657
3,17,1991,3676
3,17,1992,3568
3,17,1993,3420
3,17,1994,3280
3,17,1995,3140
3,17,1996,3395
3,17,1997,3534
3,17,1998,3310
3,17,1999,3367
3,17,2000,3436
3,17,2001,3384
3,17,2002,3783
3,17,2003,3852
3,17,2004,3914
3,17,2005,4071
3,17,2006,4555
3,17,2007,4696
3,17,2008,4775
3,17,2009,4668
3,17,2010,4379
3,17,2011,4486
3,17,2012,4141
3,17,2013,3766
3,17,2014,3650
3,17,2015,3677
3,17,2016,3654
3,17,2017,3850
3,17,2018,4017
3,17,2019,4190
3,17,2020,4272
3,17,2021,4501
3,17,2022,4451
3,17,2023,4607
3,18,1968,2913
3,18,1969,2804
3,18,1970,2905
3,18,1971,2808
3,18,1972,2724
3,18,1973,2804
3,18,1974,2927
3,18,1975,2828
3,18,1976,2809
3,18,1977,2875
3,18,1978,2787
3,18,1979,2968
3,18,1980,3086
3,18,1981,3268
3,18,1982,3699
3,18,1983,3678
3,18,1984,3595
3,18,1985,3687
3,18,1986,3524
3,18,1987,3393
3,18,1988,3469
3,18,1989,3756
3,18,1990,3727
3,18,1991,3667
3,18,1992,3714
3,18,1993,3606
3,18,1994,3431
3,18,1995,3284
3,18,1996,3147
3,18,1997,3397
3,18,1998,3563
3,18,1999,3329
3,18,2000,3392
3,18,2001,3446
3,18,2002,3405
3,18,2003,3776
3,18,2004,3846
3,18,2005,3924
3,18,2006,4335
3,18,2007,4572
3,18,2008,4745
3,18,2009,4834
3,18,2010,4710
3,18,2011,4430
3,18,2012,4486
3,18,2013,4167
3,18,2014,3848
3,18,2015,3751
3,18,2016,3825
3,18,2017,3870
3,18,2018,3956
3,18,2019,4066
3,18,2020,4257
3,18,2021,4344
3,18,2022,4571
3,18,2023,4501
3,19,1968,3161
3,19,1969,3121
3,19,1970,3003
3,19,1971,3002
3,19,1972,2877
3,19,1973,2787
3,19,1974,2891
3,19,1975,2997
3,19,1976,2932
3,19,1977,2877
3,19,1978,2979
3,19,1979,2874
3,19,1980,3031
3,19,1981,3121
3,19,1982,3304
3,19,1983,3707
3,19,1984,3691
3,19,1985,3627
3,19,1986,3702
3,19,1987,3556
3,19,1988,3458
3,19,1989,3549
3,19,1990,3816
3,19,1991,3782
3,19,1992,3805
3,19,1993,3962
3,19,1994,3815
3,19,1995,3648
3,19,1996,3468
3,19,1997,3332
3,19,1998,3591
3,19,1999,3721
3,19,2000,3485
3,19,2001,3500
3,19,2002,3511
3,19,2003,3521
3,19,2004,3919
3,19,2005,4028
3,19,2006,4266
3,19,2007,4521
3,19,2008,4810
3,19,2009,4987
3,19,2010,5044
3,19,2011,4957
3,19,2012,4659
3,19,2013,4685
3,19,2014,4402
3,19,2015,4086
3,19,2016,4027
3,19,2017,4116
3,19,2018,4273
3,19,2019,4372
3,19,2020,4412
3,19,2021,4645
3,19,2022,4746
3,19,2023,4911
4,17,1968,3397
4,17,1969,3558
4,17,1970,3520
4,17,1971,3331
4,17,1972,3444
4,17,1973,3461
4,17,1974,3436
4,17,1975,3451
4,17,1976,3490
4,17,1977,3365
4,17,1978,3476
4,17,1979,3559
4,17,1980,3587
4,17,1981,4058
4,17,1982,4097
4,17,1983,4027
4,17,1984,4068
4,17,1985,3771
4,17,1986,3485
4,17,1987,3360
4,17,1988,3632
4,17,1989,3596
4,17,1990,3574
4,17,1991,3632
4,17,1992,3326
4,17,1993,3127
4,17,1994,3098
4,17,1995,3115
4,17,1996,3105
4,17,1997,3118
4,17,1998,3040
4,17,1999,2978
4,17,2000,3057
4,17,2001,3147
4,17,2002,3257
4,17,2003,3373
4,17,2004,3394
4,17,2005,3614
4,17,2006,3890
4,17,2007,4064
4,17,2008,4024
4,17,2009,3903
4,17,2010,3859
4,17,2011,3601
4,17,2012,3435
4,17,2013,3231
4,17,2014,3139
4,17,2015,3119
4,17,2016,3239
4,17,2017,3345
4,17,2018,3423
4,17,2019,3495
4,17,2020,3602
4,17,2021,3642
4,17,2022,3676
4,17,2023,3842
4,18,1968,3551
4,18,1969,3559
4,18,1970,3706
4,18,1971,3512
4,18,1972,3306
4,18,1973,3442
4,18,1974,3473
4,18,1975,3434
4,18,1976,3422
4,18,1977,3446
4,18,1978,3351
4,18,1979,3454
4,18,1980,3540
4,18,1981,3533
4,18,1982,3999
4,18,1983,4049
4,18,1984,4006
4,18,1985,4016
4,18,1986,3764
4,18,1987,3468
4,18,1988,3354
4,18,1989,3631
4,18,1990,3609
4,18,1991,3550
4,18,1992,3643
4,18,1993,3346
4,18,1994,3147
4,18,1995,3075
4,18,1996,3115
4,18,1997,3094
4,18,1998,3128
4,18,1999,3051
4,18,2000,2990
4,18,2001,3070
4,18,2002,3152
4,18,2003,3278
4,18,2004,3397
4,18,2005,3399
